id,Scaled_social,Scaled_Capacity,Scaled_RCH,Scaled_Eco,Scaled_Healh,Scaled_nutrition,Index
Andaman and Nicobar,,,,,,,
Andhra Pradesh,0.4,0.5,0.958333333,0.875,0.5625,0.625,0.623868222
Arunachal Pradesh,0.4,0.5,0.333333333,0.75,0.5625,0.6875,0.518076873
Assam,0.5,0.583333333,0.5,0.625,0.4375,0.6875,0.54911663
Bihar,0.4,0.25,0.375,0.625,0.4375,0.4375,0.406110826
Chandigarh,,,,,,,
Chhattisgarh,0.6,0.416666667,0.625,0.375,0.5,0.625,0.513393327
Dadra and Nagar Haveli,,,,,,,
Daman and Diu,,,,,,,
Delhi,,,,,,,
Goa,0.95,1,0.75,0.75,0.8125,0.5,0.775246685
Gujarat,0.5,0.416666667,0.708333333,0.375,0.6875,0.5,0.516668205
Haryana,0.5,0.75,0.75,0.5,0.9375,0.5625,0.648175667
Himachal Pradesh,0.95,0.916666667,0.666666667,0.625,0.75,0.625,0.744350551
Jammu and Kashmir,0.7,0.583333333,0.791666667,0.625,0.875,0.625,0.692714396
Jharkhand,0.4,0.25,0.375,0.5,0.4375,0.4375,0.391284728
Karnataka,0.5,0.5,0.75,0.625,0.625,0.625,0.598099658
Kerala,1,0.75,0.791666667,0.875,0.8125,0.8125,0.836648562
Lakshadweep,,,,,,,
Madhya Pradesh,0.4,0.416666667,0.583333333,0.5,0.6875,0.4375,0.494497824
Maharashtra,0.6,0.583333333,0.791666667,0.375,0.875,0.5625,0.609249772
Manipur,0.85,0.666666667,0.375,0.625,0.5,0.75,0.606566429
Meghalaya,0.75,0.666666667,0.375,0.75,0.75,0.75,0.655185349
Mizoram,0.95,1,0.5,0.25,0.5625,0.9375,0.630165424
Nagaland,0.8,0.5,0.25,0.5,0.375,0.75,0.491296597
Orissa,0.6,0.666666667,0.666666667,0.875,0.4375,0.6875,0.642250707
Puducherry,,,,,,,
Punjab,0.7,0.833333333,0.916666667,0.625,0.875,0.6875,0.765387739
Rajasthan,0.4,0.5,0.583333333,0.5,0.5625,0.5625,0.51407558
Sikkim,0.8,0.916666667,0.791666667,0.625,0.625,0.875,0.763722019
Tamil Nadu,0.65,0.833333333,0.875,0.75,0.8125,0.625,0.75176852
Telangana,0.4,0.583333333,0.875,1,0.8125,0.5625,0.673475481
Tripura,0.65,0.416666667,0.625,0.875,0.25,0.5,0.514339683
Uttar Pradesh,0.4,0.333333333,0.416666667,0.625,0.375,0.5,0.432117111
Uttaranchal,0.8,0.75,0.5,0.5,0.625,0.625,0.623220718
West Bengal,0.55,0.666666667,0.708333333,0.25,0.375,0.5625,0.48914072
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
