S. No.,State / District,CBR,CDR,IMR,Neo-natal Mortality Rate,Under-five Mortality Rate,MMR,Percentage of Safe Deliveries,Percentage of Births to Women Aged 15-19 Years,Complete Immunization (Total 12-23 months),Percentage of Children Suffered from Diarrhoea,Percentage of Children Suffered from ARI,Children Aged Under 3 yrs Initiated Breastfeeding within One Hour of Birth,Children  (9-35 mo) who Received Vitamin A Supplements,Exclusive Breastfeeding Rate (Atleast 6 Months),Malnourished among Children up to 6 Years by Districts,HH latrine pc within Premises,HH no latrine pc total,HH no latrine pc rural,HH no latrine pc urban, Drinking Water Source premise, Drinking Water Source premise premise rural, Drinking Water Source premise premise urban,Literacy Rate (Age 7+): Total,Literacy Rate (Age 7+): Female,Literacy Rate (Age 7+): Male 
1,Agra,24,7,51,34,68,281,41.8,9.3,24.8,20.8,17.1,8.6,26.3,4.8,42.31,46.3,51.5,82.3,14.5,45.7,22.8,73.1,69.44,59.16,78.32
2,Aligarh,26.9,8,68,47,85,371,37.9,8.4,29.2,24.2,22.4,9.6,30.9,5.1,42.81,42,56.7,77.6,13.7,61.9,55.6,74.7,69.61,57.48,80.24
3,Allahabad,26.6,10,88,64,115,442,37.8,9.1,24.9,14.4,17,29.4,36.9,10.2,35.65,31,67.4,83,13.8,35.9,23.1,80.2,74.41,62.67,85
4,Ambedkar Nagar,25.2,10,72,55,90,451,35.4,7.2,46.8,12.6,11.9,16.5,45.2,6.4,29.09,18.6,79.7,84.8,41.5,48,44.7,72.9,74.37,64.62,83.95
5,Auraiya,25,9,58,41,86,267,18.8,12.1,34.7,25.6,29.2,10.1,32.6,7.4,44.88,29.3,69.8,78.7,24.4,34.5,27.9,68,80.25,71.97,87.37
6,Azamgarh,24.4,10,79,60,95,385,51.9,6.1,35.4,8.7,7.5,15.7,29.5,10.1,42.49,20.5,78,81.7,33.4,47.9,45.9,78.1,72.69,62.65,83.08
7,Baghpat,22.8,9,54,35,72,255,36.1,6.2,32.6,20.7,21,13.3,38.5,10.4,20.25,64.7,34.3,40.2,12.5,46.7,40.8,68.4,73.54,61.22,84.17
8,Bahraich,32.2,8,66,45,101,434,11,8.7,16.5,23.6,24.7,6,16.8,2.8,17.32,15.7,83.6,88.9,19.2,54.9,52.1,89,51.1,40.76,60.23
9,Ballia,24,8,72,54,90,385,42.8,5.5,48.5,5.8,2.3,14.4,22.6,6.3,13.36,25.9,72.7,76.4,37.3,63.4,61.7,80,73.82,61.72,85.19
10,Balrampur,36.3,11,93,64,128,434,10.6,6.6,19.2,21.6,11.2,6.3,14.9,2.2,79.75,15,84.5,89.3,27,59.6,57.2,87.3,51.76,40.92,61.66
